temp,hum,occ,CO2,occupancy_level
32.25,36.8997128,4,528.3984559,2
32.25,36.90543409,4,531.1956233,2
32.25,36.94058821,4,533.7636834,2
32.25,36.97277686,4,534.2591025,2
32.25,36.97187131,4,531.9652871,2
32.25,36.94372754,4,527.6902852,2
32.25190331,36.9382652,4,524.0956847,2
32.24998077,36.9523783,4,520.0011041,2
32.24849519,36.95510683,4,522.0604194,2
32.24744654,36.94360143,4,525.2407437,2
32.24683482,36.97302366,4,527.7479759,2
32.24835143,37.02430968,4,531.2859396,2
32.24673476,37.04072266,4,531.7924008,2
32.24687939,37.01905686,4,532.2111131,2
32.24530641,36.99543554,4,531.0316723,2
32.24504424,36.98739437,4,527.5931644,2
32.24426432,36.97332725,4,524.3957769,2
32.24307191,36.93956886,4,524.5523422,2
32.24424596,36.91690662,4,526.0282262,2
32.24387325,36.91442064,4,525.4490265,2
32.24318639,36.91913384,4,526.8775975,2
32.23755293,36.90775104,4,528.6181222,2
32.22876872,36.88070459,4,529.2055756,2
32.22373694,36.88617555,4,529.2373379,2
32.21357025,36.91811474,4,527.3356025,2
32.21025302,36.93879646,4,527.053807,2
32.20634984,36.93575594,4,526.6509833,2
32.20368932,36.94202969,4,526.5570533,2
32.20167242,36.94468422,4,528.9337832,2
32.20643679,36.93748868,4,530.9277488,2
32.20946084,36.91781511,4,534.5108485,2
32.22213032,36.89879199,4,532.925778,2
32.23458044,36.90794545,4,533.8238031,2
32.22692834,36.92363143,4,535.7641248,2
32.22880629,36.93336418,4,537.5785649,2
32.2216038,36.92901469,4,536.3426803,2
32.20905711,36.91081941,4,537.5317843,2
32.19796761,36.90481228,4,539.2242759,2
32.18751516,36.886602,4,539.6311158,2
32.19264089,36.85934448,4,541.4681482,2
32.20518102,36.83545302,4,539.5038922,2
32.21906562,36.80003948,4,538.9321627,2
32.22472791,36.76959866,4,540.6068796,2
32.23792259,36.73389764,4,538.9124983,2
32.24772137,36.7067672,4,537.16684,2
32.25425535,36.70232798,4,533.7923334,2
32.2582577,36.71893732,4,530.5652289,2
32.247426,36.73328475,4,529.950295,2
32.2343978,36.75934173,4,530.9206508,2
32.21212617,36.75554808,4,527.763779,2
32.18723597,36.73058572,4,527.7557257,2
32.1599426,36.67366695,4,526.7031259,2
32.13461546,36.59349524,4,524.9724836,2
32.11562391,36.51351958,4,520.9435707,2
32.10499713,36.46335223,4,516.0759256,2
32.10518415,36.44651173,4,510.5455794,2
32.09965775,36.46381431,4,510.2222584,2
32.09847452,36.52047888,4,512.0368827,2
32.10264815,36.58122254,4,512.7643926,2
32.10136749,36.64314337,4,516.614691,2
32.10571241,36.68287423,4,520.0339025,2
32.10549263,36.7021354,4,520.8791602,2
32.11166613,36.73262098,4,521.1313138,2
32.11404176,36.72555356,4,519.2015161,2
32.11797027,36.66775953,4,518.3983024,2
32.12161566,36.5934349,4,516.4678914,2
32.12937612,36.53618477,4,515.5310652,2
32.14593435,36.52198232,4,512.9269343,2
32.16536281,36.53467116,4,513.8604114,2
32.18691306,36.55779278,4,516.3981178,2
32.21276759,36.60200063,4,518.2037072,2
32.23304897,36.67187713,4,522.7944,2
32.24746226,36.73729073,4,524.7059314,2
32.25372271,36.77803415,4,525.2828131,2
32.25077426,36.8125345,4,528.0765992,2
32.24893868,36.80378503,4,528.3896048,2
32.24774672,36.76895019,4,527.1288888,2
32.25380486,36.71391316,4,525.6788131,2
32.27231577,36.62395886,4,521.6683825,2
32.29891004,36.53291166,4,518.7565826,2
32.32921827,36.45339629,4,512.8584095,2
32.35887111,36.39602127,4,508.1456368,2
32.38349915,36.374265,4,502.9198616,2
32.39873301,36.39703038,4,505.4146032,2
32.40369882,36.37132596,4,509.8254335,2
32.40232902,36.31664884,4,513.8623801,2
32.40170333,36.27348375,4,517.092082,2
32.40413402,36.22440319,4,515.5594962,2
32.41224578,36.17845647,4,515.406606,2
32.43149948,36.14906277,4,512.1947759,2
32.45752572,36.10558991,4,507.0787056,2
32.47997618,36.05640814,4,503.057891,2
32.50497083,36.02300846,4,501.0988218,2
32.52967088,35.97693161,4,499.2093527,2
32.56099947,35.92831045,4,500.5814655,2
32.59952996,35.88378671,4,500.6852017,2
32.62088648,35.83131566,4,499.875678,2
32.65012974,35.78316219,4,498.8929454,2
32.67570323,35.7496112,4,496.6503935,2
32.70783096,35.71376109,4,495.5249677,2
32.73777425,35.67588518,4,493.3376936,2
32.76589695,35.6310519,4,490.2236117,2
32.79250269,35.59385014,4,488.937657,2
32.82173126,35.56464342,4,490.0849648,2
32.84291535,35.54090822,4,490.0203175,2
32.84942049,35.52462943,4,494.2139346,2
32.85592388,35.50817545,4,500.0847251,2
32.86224551,35.50444125,4,502.8795398,2
32.88665508,35.50982132,4,501.9344418,2
32.91652638,35.50768793,4,499.1226919,2
32.94749004,35.48564043,4,495.3169847,2
32.97517665,35.46199698,4,494.3202897,2
32.99521683,35.45473316,4,490.3300773,2
33.00724838,35.44048078,4,489.0228288,2
33.00466869,35.43193356,4,490.9713754,2
33.00359469,35.43377004,4,491.6823207,2
33,35.45712114,4,490.3802787,2
33.00108186,35.49725616,4,487.2854235,2
32.99933411,35.52883986,4,482.3767541,2
32.99802329,35.54987953,4,480.9278274,2
33.00032465,35.57388419,4,484.090191,2
33.00052695,35.58429601,4,484.0744936,2
33.00091014,35.58481498,4,487.5152576,2
32.9921858,35.60507186,4,489.5104074,2
32.97727701,35.62482224,4,490.4671561,2
32.95472355,35.63467924,4,489.3000902,2
32.93184327,35.62449604,4,485.9378539,2
32.90460408,35.57659761,4,484.8839007,2
32.88128685,35.4977285,4,482.5138931,2
32.86517912,35.40100024,4,483.5705378,2
32.85477867,35.30808735,5,483.8548977,3
32.85618692,35.22857132,5,486.3390254,3
32.85376541,35.20661557,5,487.0027614,3
32.8514942,35.22035836,5,487.893639,3
32.84994569,35.24786262,5,490.6008879,3
32.85320175,35.2823701,5,492.0387549,3
32.85519944,35.28113653,5,494.1043651,3
32.85112323,35.27163572,5,495.0471771,3
32.84535564,35.24771733,5,495.3574852,3
32.84046194,35.26758295,5,494.9101113,3
32.84283801,35.3133092,5,496.3766878,3
32.84454425,35.36899539,5,495.7364249,3
32.84249283,35.41678762,5,494.2265274,3
32.83404986,35.45201696,5,498.2786733,3
32.81600561,35.46030065,5,497.9357835,3
32.80906833,35.44272448,5,497.743503,3
32.79381744,35.40702796,5,496.340781,3
32.77667372,35.34560355,5,496.0787485,3
32.75961738,35.31475718,5,494.2876048,3
32.74796642,35.30962285,5,493.4919808,3
32.73720374,35.30363432,5,492.020593,3
32.72301635,35.29590933,5,492.4680839,3
32.71539351,35.29376939,5,493.7706049,3
32.70362153,35.2889442,5,495.522243,3
32.70348213,35.29160821,5,499.168139,3
32.70455832,35.31301164,5,499.6609791,3
32.70685967,35.32045768,5,501.2707442,3
32.70467498,35.32563258,5,501.2011648,3
32.70518663,35.3385767,5,501.6511948,3
32.70313302,35.35286923,5,500.1828901,3
32.70020553,35.35975957,5,499.7594741,3
32.69640417,35.37083761,5,496.4592588,3
32.69999886,35.39092424,5,497.4950367,3
32.70220187,35.39747516,5,499.7923986,3
32.70929456,35.43745046,5,498.9031455,3
32.70320331,35.48924496,5,498.9801132,3
32.68628493,35.51779269,5,499.0344213,3
32.66187582,35.54373623,5,499.9767074,3
32.62940448,35.54384766,5,499.2701003,3
